Tétel;Anyag összesen (net HUF);Díj összesen (net HUF);Anyag+Díj összesen (net HUF)
ÖSSZESEN;48 349 426 326;33 149 472 726;81 498 899 051
01-00-00 JÁRULÉKOS KÖLTSÉGEK;229 210 557;7 549 478 764;7 778 689 321
01-10-00 TERVEZÉS-ENGEDÉLYEZÉS;0;2 179 810 409;2 179 810 409
01-20-00 ORGANIZÁCIÓ ÉS SOFT COSTS;12 506 522;4 760 866 953;4 773 373 475
01-30-00 IDEIGLENES ÉS MELLÉKMUNKÁK;57 103 851;192 134 530;249 238 381
01-40-00 TERÜLETRENDEZÉS;159 600 184;117 315 472;276 915 656
01-50-00 MŰSZAKI KOORDINÁCIÓ;0;240 784 970;240 784 970
01-60-00 MŰSZAKI ÁTADÁS;0;58 566 430;58 566 430
05-00-00 BONTÁS, BONTÁS ORGANIZÁCIÓ (M);787 489 465;1 067 444 138;1 854 933 603
05-01-00 BONTÁS ORGANIZÁCIÓ (M);763 717 496;1 023 031 034;1 786 748 530
05-11-00 BONTÁS KÖLTSÉG;23 771 969;44 413 103;68 185 073
10-00-00 TARTÓSZERKEZET;8 162 695 367;5 840 280 847;14 002 976 214
11-00-00 ACÉLSZERKEZETEK - KIVÁLTÓK;1 329 040 344;1 187 659 266;2 516 699 609
12-00-00 SZERKEZETÉPÍTÉS 1 (vegyes);572 299 560;303 532 642;875 832 202
13-00-00 SZERKEZETÉPÍTÉS 2.1 (M);2 265 047 991;1 600 043 774;3 865 091 766
14-00-00 SZERKEZETÉPÍTÉS 2.2 (M);501 242 666;331 535 965;832 778 631
15-00-00 SZERKEZETÉPÍTÉS 3 (É+Mo);3 495 064 806;2 417 509 200;5 912 574 007
20-00-00 ÉPÜLETZÁRÁS (TETŐ ÉS HOMLOKZAT);7 335 159 938;2 034 241 787;9 370 401 725
21-00-00 TETŐ;4 465 305 548;1 522 747 356;5 988 055 901
21-10-00 LAPOSTETŐK;3 616 292;2 751 423;6 367 714
21-20-00 ÁCSMUNKA;34 847 876;22 870 053;57 717 929
21-30-00 SZIGETELÉS;36 518 934;15 837 308;52 356 242
21-40-00 TETŐFEDÉS, BÁDOGOZÁSI MUNKÁK;380 423 024;333 232 669;713 655 694
21-50-00 ÜVEGTETŐ;3 995 231 480;1 133 168 624;5 128 400 104
21-60-00 MADÁRVÉDELEM;14 670 940;14 887 288;29 558 228
22-00-00 HOMLOKZAT;2 805 485 569;497 182 618;3 303 668 187
22-10-00 FÜGGÖNYFAL RENDSZER;1 176 184 230;112 557 696;1 288 741 926
22-20-00 KÜLSŐ NYÍLÁSZÁRÓK;1 533 206 604;360 303 212;1 893 509 816
22-60-00 ÁRNYÉKOLÓK;97 094 736;24 321 709;121 416 445
22-70-00 Alpintechnika;64 365 823;14 311 815;78 677 638
30-00-00 ÉPÍTÉSZET;9 150 211 371;3 903 066 347;13 053 277 718
31-00-00 KŐMŰVES MUNKÁK;683 148 948;964 706 788;1 647 855 736
31-10-00 FALAK;281 682 297;371 466 617;653 148 914
31-20-00 ALJZATOK;66 534 147;49 376 593;115 910 740
31-30-00 FELTÖLTÉSEK;63 935 250;36 389 186;100 324 436
31-40-00 BELSŐ VAKOLÁS;270 997 254;507 474 392;778 471 646
32-00-00 SZIGETELÉSEK;130 625 332;15 274 882;145 900 214
32-10-00 ALAPLEMEZ ÉS PINCE FALAK;24 482 682;1 774 416;26 257 097
32-30-00 BELSŐ SZIGETELÉSEK;106 142 650;13 500 466;119 643 117
33-00-00 SZÁRAZÉPÍTÉS;1 081 232 923;444 281 144;1 525 514 067
33-10-00 GIPSZKARTON FALAK;196 150 310;132 825 377;328 975 687
33-20-00 ELŐTÉTFALAK;517 675 133;97 886 673;615 561 806
33-30-00 ÁLMENNYEZETEK;362 939 603;211 762 617;574 702 220
33-40-00 REVÍZIÓS NYÍLÁSOK;4 467 877;1 806 477;6 274 354
34-00-00 BELSŐ NYÍLÁSZÁRÓK;3 138 369 547;556 069 691;3 694 439 238
34-10-00 AJTÓK;1 835 020 876;289 614 118;2 124 634 993
34-20-00 BELSŐ ÜVEGFALAK;1 303 348 672;266 455 573;1 569 804 245
35-00-00 BELSŐ ÜVEGSZERKEZETEK;42 600 292;16 356 608;58 956 899
36-00-00 LAKATOSMUNKÁK;84 623 373;20 160 502;104 783 875
36-10-00 TŰZ MENTESÍTŐ SZIGETELÉS;71 862 337;35 642 018;107 504 355
38-20-00 TETŐSZIGETELÉS;335 823 022;145 682 732;481 505 754
