Tétel;Megjegyzés;Menny.;Egys.;Anyag e.ár (net HUF);Díj e.ár (net HUF);Anyag összesen (net HUF);Díj összesen (net HUF);Anyag+Díj összesen (net HUF)
14-54-05;T-FP 05 rétegrend szerinti kialakítással: Negatív oldali szigetelés: alsó réteg: hálódali vízszintes és függőleges felületen 2 rétegben, össz. 2x1 mm rétegvastagságban, szórással felhordva, utolsó réteg szárítása előtt 0,4-1 mm frakciójú tűziszárított kvarchomok hintés (MC-BAUCHEMIE EXPERT PROOF ECO, száraz rétegvastagság: 3 mm, teljes anyagfelhasználás: 4,0 kg/m2);;160.0;m2;25209;11661;4033408;1865219;5898627
14-54-06;14-54-07 réteggel megegyező szigetelési záró rétege: hátoldali szigetelésre: cementiszap bevonatszigetelés, gépi szórással felhordva (MC-BAUCHEMIE OXAL DS HS, száraz rétegvastagság: 3 mm, teljes anyagfelhasználás: 6,8 kg/m2);;225.0;m2;12713;12438;2860345;2798576;5658921
14-54-07;Negatív oldali szigetelés alaprétege: hátoldali vízszintes és függőleges felületen 2 rétegben, össz. 2x1 mm rétegvastagságban, szórással felhordva (MC-BAUCHEMIE EXPERT PROOF ECO, száraz rétegvastagság: 3 mm, teljes anyagfelhasználás: 4,0 kg/m2);;216.6;m2;25209;10364;5460238;2244845;7705083
14-54-08;14-54-07 réteggel megegyező szigetelési záró rétege: hátoldali szigetelésre: cementiszap bevonatszigetelés, két rétegben, gépi szórással felhordva (MC-BAUCHEMIE OXAL DS HS, száraz rétegvastagság: 3 mm, teljes anyagfelhasználás: 6,8 kg/m2);;216.6;m2;12713;10883;2753638;2357246;5110884
14-54-09;Negatív oldali szigetelés alaprétege: hátoldali vízszintes és függőleges felületen 2 rétegben, össz. 2x1 mm rétegvastagságban, szórással felhordva (MC-BAUCHEMIE EXPERT PROOF ECO, száraz rétegvastagság: 3 mm, teljes anyagfelhasználás: 4,0 kg/m2);;70.1;m2;16806;10364;1178094;726517;1904611
14-54-10;14-54-08 réteggel megegyező szigetelési záró rétege: hátoldali szigetelésre: cementiszap bevonatszigetelés, két rétegben, gépi szórással felhordva (MC-BAUCHEMIE OXAL DS HS, száraz rétegvastagság: 3 mm, teljes anyagfelhasználás: 6,8 kg/m2);;70.1;m2;17891;2689;1254143;188500;1442643
14-54-11;Vízszintes falszigetelés kialakítása: injektálással-Vízszintes vízzáró utólagos kialakítása akrilát hidro-polimer (MC OXAL DRY-IN), alacsony nyomáson végzett injektálással, injektálás után a furatok lezárása cementiszappal (MC OXAL VP IT FLOW). FALKERÜLET M2 (ELSŐ ÉS MÁSODIK SÍK);;201.2;m2;124107;72034;24964145;14489647;39453812
14-54-12;Felület előnedvesítés;;24.7;m2;0;311;0;7659;7659
14-54-13;Negatív oldali szigetelés alaprétege: cementiszap bevonatszigetelés, gépi szórással felhordva (MC-BAUCHEMIE OXAL DS HS, száraz rétegvastagság: 4 mm, teljes anyagfelhasználás: 6,8 kg/m2);;1857.0;m2;12713;12438;23607578;23097583;46704981
14-54-14;Mélypince T-P1.42 rétegrendi padlón 6,8 kg/m2 Oxal DS HS negatív víznyomás elleni bevonat.;;616.7;m2;25209;11661;15547057;7191399;22738456
14-54-15;Mélypince T-P1.42 rétegrendi padlón 4 kg/m2 Expert Proof Eco bevonat.;;53.0;m2;12713;10883;673770;576796;1250566
14-54-16;Mélypince T-P1.42 rétegrendi padlónál RM-L habarcsos holker kialakítása.;;53.0;m2;25209;10364;1336069;549293;1885362
14-54-17;Mélypince T-P1.42 rétegrendi padlónál MC Fajtapere sajtoláshoz szalag elhelyezése.;;38.0;fm;1380;1295;52431;49205;101636
14-54-18;Mélypince T-P1.42 rétegrendi padlónál MC Fajtapere sajtoláshoz holker szalag elhelyezése.;;38.0;fm;5473;2072;207974;78754;286729
14-54-19;Alagsor Expert Proof Eco anyaggal szigetelt padlónál MC Fajtapere sajtoláshoz holker szalag elhelyezése.;;1237.0;fm;5473;2072;6770114;2563654;9333768
14-54-20;Alagsor Nefutex bitumenes vastagbevonattal szigetelt padlónál lábazati szigetelés készítése terv szerinti 20-40 cm magasságig.;;192.0;m2;16806;18138;3226733;3482543;6709276
14-54-21;Kerámia burkolatú falakon (mennyezetig) Expert Proof Eco kétkomponensű bitumenmentes bevonat készítése, kvarchomok szórással. (A terv egységesen nem tér ki erre, de az Oxal DS-HS helyett bitumenmentes bevonatot kell ragasztani, ezért szükséges ez a tétel). - A mennyiség előirányzatnak tekintendő.;;616.0;m2;25209;11661;15528854;7182687;22711541
14-54-22;Égetett agyag tömör kisméretű téglából fugák kíkaparása;;4435.0;m2;0;6478;0;28728660;28728660
14-00-00;SZERKEZETÉPÍTÉS 2.2 (M);;;;0;0;501242666;331535965;832778631
14-00-01;Pillér helyének bontás és építési munkák (M);;1.0;kts.;63506034;42268153;63506034;42268153;105774187
14-00-02;Betonbontások (M);;1.0;kts.;38033328;25156311;38033328;25156311;63189639
14-00-03;Többlet falazási munkálatok (M);;1.0;kts.;45974798;30409020;45974798;30409020;76383817
14-00-04;Egyéb Lakatos, nyílászáró váltók (M);;1.0;kts.;8142786;5385867;8142786;5385867;13528653
14-00-05;Szerkezeti acél többletköltség kimutatás (M);;1.0;kts.;12630394;8354097;12630394;8354097;20984491
14-00-06;Pillérköpenyezési (M);;1.0;kts.;48223310;31896251;48223310;31896251;80119561
14-00-07;3. emeleti pillérek többletköltség (M);;1.0;kts.;29045542;19211537;29045542;19211537;48257079
14-00-08;Pater-noster, normál tokos nyílászáró és falburkolatok előkészítő bontási többletmunkái (M);;1.0;kts.;16814659;11121687;16814659;11121687;27936346
14-00-09;MNB SZ9 födém lökésgátló ill. ütem ideiglenes támasz sarkoknál (M);;1.0;kts.;15058187;9959907;15058187;9959907;25018094
14-00-10;Konferenciaterem gipszminta (M);;1.0;kts.;639235;422808;639235;422808;1062043
